english,translate
Refreshing. I feel energized!,Освежает. Чувствую прилив энергии!
Refugee Barcas,Refugee Barcas
Refugee Biron,Refugee Biron
Refugee Brandast,Refugee Brandast
Refugee Cravia,Refugee Cravia
Refugee Fiannas,Refugee Fiannas
Refugee Froya,Refugee Froya
Refugee Jharre,Refugee Jharre
Refugee Kirk,Refugee Kirk
Refugee Lawta,Refugee Lawta
Refugee Malia,Refugee Malia
Refugee Rancher,Refugee Rancher
Refugee Steadholder,Refugee Steadholder
Refugee Thysva,Refugee Thysva
Regained Access to the Hidden Vault,Возвращён доступ в скрытое хранилище
Regenerate Health,Восстановить здоровье
Regenerate health every second.,Восстанавливает здоровье каждую секунду.
Regenerate health over time. Lose a condition with every pulse.,Восстанавливает здоровье со временем. Снимает по одному состоянию с каждым импульсом.
Regenerates Health • Leaps • Throws,Восстанавливает здоровье • Прыгает • Метает
Regenerates health over time.,Восстанавливает здоровье со временем.
Regret Attunement,Настройка на сожаление
Regret Empowerment,Усиление сожаления
Regret of Chaos,Сожаление хаоса
Regroup at Fort Trinity.,Перегруппируйтесь в Fort Trinity.
Regroup with Frode or Emund while they await assistance to begin the assault.,"Перегруппируйтесь с Фроде или Эмундом, пока они ждут подкрепления перед штурмом."
Regroup with the Vigil troops.,Перегруппируйтесь с войсками Дозора.
Regroup with the other Order of Whispers operatives.,Перегруппируйтесь с остальными оперативниками Order of Whispers.
Regroup with your allies and bring things to an end.,Перегруппируйтесь с союзниками и покончите с этим.
"Regurgitated Mass[pl:""Masses""]",Отрыгнутая масса
Regurgitated by Amber Great Jungle Wurm,Отрыгнуто янтарным Great Jungle Wurm
Reinforce Pact Camp,Укрепить лагерь Пакта
Reinforce armor.,Укрепить броню.
Reinforced Steel,Укреплённая сталь
Reinforced Wall,Укреплённая стена
Reinforcements made,Подкрепления собраны
Rejoining the fight!,Возвращаюсь в бой!
Relax! Kick off your boots!,Расслабься! Скинь сапоги!
Relaxed in the Hot Springs,Отдохнул в горячих источниках
Reld,Релд
"Release a burst of low-frequency light in an area around you, revealing the direction of any hidden enemies in the area.","Испустите вспышку низкочастотного света в области вокруг себя, раскрывая направление на всех скрытых врагов поблизости."
"Release a volley of unstable magic on the target area, damaging and knocking down foes, and applying a random condition.","Выпустите залп нестабильной магии по целевой области, нанося урон, сбивая врагов с ног и накладывая случайное состояние."
Release of Sorrow,Высвобождение скорби
Release the corrupted wolf Ormi from his suffering.,Освободите осквернённого волка Орми от его страданий.
Release!,Отпустить!
Released Yourself from Your Cell,Освободился из своей камеры
Relentlessly Pursues Targets • Creates Clones,Неотступно преследует цели • Создаёт клонов
Relic Imprisonment,Заточение реликвии
Relighting lanterns in: %str1%,Зажигание фонарей через: %str1%
"Reliquary[pl:""Reliquaries""] of the Raven Ceremonial Hood",Реликвари[й|я|ев] церемониального капюшона Ворона
"Rely on strength, not false gods.","Полагайся на силу, а не на ложных богов."
Remain at your peril.,Останься — на свой страх и риск.
Remain inside a ley-line until this times out to acquire sufficient flight data.,"Оставайтесь внутри лей-линии, пока не истечёт время, чтобы собрать достаточно данных полёта."
Remain inside the ley line until this effect's timer ends to qualify for the achievement.,"Оставайтесь внутри лей-линии, пока не истечёт таймер этого эффекта, чтобы получить зачёт достижения."
Remained Undetected in Golem Disguise,Остался незамеченным в обличье голема
Remember what happened last time?,"Помнишь, что случилось в прошлый раз?"
Reminded Niles about the Honored Zephyrite Ritual,Напомнил Найлзу о почитаемом ритуале зефиритов
Remnant of Captain Ashym,Останки капитана Ашима
Remnant of Ensolyss,Останки Энсолисс
Remnant of a Mobile Artillery,Остатки передвижной артиллерии
Remnant of a Molten Firestorm,Остатки расплавленного огненного шторма
Remnant of a Svanir Shaman,Останки шамана Сванира
Remnant of an Imbued Shaman,Останки напитанного шамана
Remote Charge 2.0,Дистанционный заряд 2.0
Remove Fire Armor,Снять огненную броню
Remove Lightning Armor,Снять молниевую броню
Remove Rock Armor,Снять каменную броню
Remove Water Armor,Снять водную броню
Remove conditions and heal when blocking or evading attacks. <c=@reminder>Block and evade triggers have separate cooldowns.</c>,Снимайте состояния и исцеляйтесь при блокировании или уклонении от атак. <c=@reminder>Срабатывания блока и уклонения имеют раздельные перезарядки.</c>
"Remove conditions, healing when a condition is removed.","Снимайте состояния, исцеляясь при снятии каждого состояния."
Remove cosmetic petrification.,Снять косметическое окаменение.
Removes Boons,Снимает благодати
Removes Ice Shield and then stuns for 2 seconds.,"Снимает Ледяной щит, а затем оглушает на 2 секунды."
Removes conditions from allies and replaces each with a boon.,"Снимает состояния с союзников, заменяя каждое благодатью."
"Removes fire armor, and stuns the djinn.",Снимает огненную броню и оглушает джинна.
Removes lightning armor and stuns the djinn.,Снимает молниевую броню и оглушает джинна.
Removes lightning armor and stuns the spark.,Снимает молниевую броню и оглушает искру.
Removes poison condition; prevents poison condition.,Снимает состояние яда; предотвращает наложение яда.
"Removes water armor, and stuns the djinn.",Снимает водную броню и оглушает джинна.
Renae Silverguard,Рене Серебряная Стража
Rend Scorchmaul,Разорви Ожогопасть
"Rend, tear!","Рви, режь!"
Rendezvous with Tribune Desertgrave at Junker's Scrapyard.,Встретьтесь с трибуном Дезертгрейв на Свалке мусорщиков.
Rendezvoused with Turma,Встреча с Турмой состоялась
Reni,Рени
Rental Car,Арендованный автомобиль
Renvari must be safely transferred to prison in the Grove.,Ренвари нужно безопасно перевести в тюрьму в Роще.
Repair %num2% listening devices in the Drizzlewood Coast.,Почините %num2% подслушивающих устройства на Моросистом побережье.
Repair Backpack,Ремонтный рюкзак
Repair Golems Deployed,Ремонтные големы развёрнуты
Repair Golems Recharging,Ремонтные големы перезаряжаются
Repair Master I: Spend 4 supply at a time when repairing,Repair Master I: тратит по 4 припаса за раз при починке
Repair Master II: Spend 6 supply at a time when repairing,Repair Master II: тратит по 6 припасов за раз при починке
Repair Master III: Spend 8 supply at a time when repairing,Repair Master III: тратит по 8 припасов за раз при починке
Repair Master IV: Spend 10 supply at a time when repairing,Repair Master IV: тратит по 10 припасов за раз при починке
Repair Tools,Ремонтные инструменты
Repair Worker,Ремонтник
Repair the dredge suit. Restores health.,Почините костюм дреджа. Восстанавливает здоровье.
Repair the roost.,Почините насест.
Repaired %num1%/%num2% Listening Devices,Починено %num1%/%num2% подслушивающих устройств
Repaired Taimi's Sprinklers,Разбрызгиватели Тайми починены
Repairing defenses in: %str1%,Ремонт обороны через: %str1%
Repel the ghosts threatening Ashford Forum.,"Отгоните призраков, угрожающих Ashford Forum."
Repelled %num1%/%num2% Incursion[s],Отражено %num1%/%num2% вторжени[е|я|й]
Repelled the Branded from Amnoon in Under 12 Minutes,Клеймёные изгнаны из Амнуна менее чем за 12 минут
Repelled the Branded from Amnoon without Being Struck by Lightning,Клеймёные изгнаны из Амнуна без единого удара молнией
Replenishing.,Восполнение.
Replic Job-o-Tron is watching you.,Реплик-Работотрон следит за тобой.
Replica Job-o-Tron,Реплика Работотрона
Report Minister Zamon's bandit involvement to Captain Thackeray.,Доложите капитану Теккерею о причастности Minister Zamon к бандитам.
Report any suspicious activity.,Сообщите о любой подозрительной активности.
Report back to Eir and the order reps in Hoelbrak.,Доложитесь Эйр и представителям орденов в Хоэльбраке.
Report back to the Durmand Priory.,Доложитесь Durmand Priory.
Report back to the Grove.,Доложитесь в Рощу.
Report back to the order representatives.,Доложитесь представителям орденов.
Report back to the secret headquarters.,Доложитесь в тайный штаб.
Report the destroyed supplies to Steelbane.,Доложите Стилбейну об уничтоженных припасах.
Report to Fort Trinity.,Явитесь в Fort Trinity.
Report to Gixx at the Durmand Priory.,Явитесь к Гиксу в Durmand Priory.
Report to Legionnaire Steelbane at the Black Citadel.,Явитесь к легионеру Стилбейну в Black Citadel.
Report to Rytlock for new orders.,Явитесь к Ритлоку за новыми приказами.
Report to Rytlock in the Black Citadel for debriefing.,Явитесь к Ритлоку в Black Citadel на разбор полётов.
Report to Rytlock in the Black Citadel.,Явитесь к Ритлоку в Black Citadel.
Report to Rytlock's office.,Явитесь в кабинет Ритлока.
Report to Trahearne about the campaign against Zhaitan.,Доложите Трихерну о кампании против Зайтана.
Report to Trahearne at Fort Trinity to plan the Pact's next move.,"Явитесь к Трихерну в Fort Trinity, чтобы спланировать следующий шаг Пакта."
Report to Trahearne at the Grove.,Явитесь к Трихерну в Рощу.
Report to Trahearne to plan the Pact's next move.,"Явитесь к Трихерну, чтобы спланировать следующий шаг Пакта."
Report to Tribune Brimstone's office at the top of the Imperator's Core.,Явитесь в кабинет трибуна Жарокамня на вершине Imperator's Core.
Report to Tribune Desertgrave at her office.,Явитесь к трибуну Дезертгрейв в её кабинет.
Report to Tribune Desertgrave at the Black Citadel.,Явитесь к трибуну Дезертгрейв в Black Citadel.
Report to Tribune Desertgrave at the meeting location.,Явитесь к трибуну Дезертгрейв в место встречи.
Report to Tribune Goreblade and assemble the musket.,Явитесь к трибуну Горблейду и соберите мушкет.
Report to Tribune Goreblade for new orders.,Явитесь к трибуну Горблейду за новыми приказами.
Report to Vigil Keep for new orders.,Явитесь в Vigil Keep за новыми приказами.
Reported Daniella to Lutorius Tomeweaver,Сообщил о Даниэлле Луторию Ткачу Свитков
Reports Binder,Скоросшиватель отчётов
Represented Each Legion at the Demolition Derby,Представил каждый легион в дерби на выживание
Repulsion,Отталкивание
Repulsor Barrage,Шквал репульсора
Repulsor Turret,Турель-репульсор
Request Sync,Запрос синхронизации
Request from Mayor Osborne,Просьба от Mayor Osborne
Request your mech to launch its fist at your target from the surface. Deals bonus defiance damage.,Прикажите своему меху нанести удар кулаком по цели с поверхности. Наносит дополнительный урон стойкости.
Requesting BROTHERHOOD cooperation.,Запрос сотрудничества БРАТСТВА.
Requesting Kestrel support!,Запрашиваю поддержку Пустельг!
Requires training the Wayfinder Mastery to unlock.,"Требуется освоить мастерство Путеискателя, чтобы открыть."
Rescue %num2% prisoners from Dominion captivity in Northern Drizzlewood Coast.,Освободите %num2% пленников из плена Доминиона на севере Моросистого побережья.
Rescue %num2% skimmers from freebooter confinement.,Освободите %num2% скиммеров из плена вольных пиратов.
Rescue Demmi Beetlestone from the Jackdaw pirates.,Спасите Demmi Beetlestone от пиратов Галки.
Rescue Professor Gorr from the Arcane Eye's Garenhoff base.,Спасите Professor Gorr с базы Arcane Eye в Гаренхоффе.
Rescue Tchkik and the skritt treasure hunters.,Спасите Чкика и охотников за сокровищами скриттов.
Rescue Tegwen from the krait.,Спасите Тегвен от крайтов.
Rescue Ysvelta from the Nightmare Court.,Спасите Исвельту от Nightmare Court.
Rescue Zojja from the Funhouse.,Спасите Зоджу из Комнаты смеха.
Rescue the Priory researchers from the Inquest.,Спасите исследователей Приората от Инквеста.
Rescue the captured townspeople from the centaurs.,Спасите пленённых горожан от кентавров.
Rescue the spirit of the Wolf Havroun apprentice from the Mists.,Спасите дух послушника Волчьего Хавруна из Туманов.
Rescue your krewemate Pol from the Inquest.,Спасите своего товарища по крю Пола от Инквеста.
Rescued %num1%/%num2% Prisoners,Спасено %num1%/%num2% пленников
