english,translate
Recipe[s]: Silver Dhuum Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Дуума
Recipe[s]: Silver Ether Djinn Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей эфирного джинна
Recipe[s]: Silver Gorseval Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Горсевала
Recipe[s]: Silver Greer Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Грира
Recipe[s]: Silver Keep Construct Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Конструкта крепости
Recipe[s]: Silver Mordremoth Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Мордремота
Recipe[s]: Silver Mursaat Overseer Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Надзирателя мурсаатов
Recipe[s]: Silver Qadim Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Кадима
Recipe[s]: Silver River of Souls Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Реки Душ
Recipe[s]: Silver Sabetha Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Сабеты
Recipe[s]: Silver Samarog Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Самарога
Recipe[s]: Silver Shatterer Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Разрушителя
Recipe[s]: Silver Siege the Stronghold Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей «Осада крепости»
Recipe[s]: Silver Slothasor Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Слотазора
Recipe[s]: Silver Statue of Grenth Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Статуи Грента
Recipe[s]: Silver Tequatl Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Текватла
Recipe[s]: Silver Triple Trouble Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей «Тройная угроза»
Recipe[s]: Silver Twin Largos Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей близнецов-ларгосов
Recipe[s]: Silver Ura Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Уры
Recipe[s]: Silver Vale Guardian Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Стража долины
Recipe[s]: Silver White Mantle Abomination Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Мерзости White Mantle
Recipe[s]: Silver Xera Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Ксеры
Recipe[s]: Simple Boreal Canteen,[Рецепт|Рецепта|Рецептов]: простая бореальная фляга
Recipe[s]: Sinister Draconic Boots,[Рецепт|Рецепта|Рецептов]: зловещие драконьи сапоги
Recipe[s]: Sinister Draconic Coat,[Рецепт|Рецепта|Рецептов]: Зловещая драконья куртка
Recipe[s]: Sinister Draconic Gauntlets,[Рецепт|Рецепта|Рецептов]: зловещие драконьи перчатки
Recipe[s]: Sinister Draconic Helm,[Рецепт|Рецепта|Рецептов]: Зловещий драконий шлем
Recipe[s]: Sinister Draconic Legs,[Рецепт|Рецепта|Рецептов]: зловещие драконьи поножи
Recipe[s]: Sinister Draconic Pauldrons,[Рецепт|Рецепта|Рецептов]: зловещие драконьи наплечники
Recipe[s]: Sinister Emblazoned Boots,[Рецепт|Рецепта|Рецептов]: зловещие украшенные сапоги
Recipe[s]: Sinister Emblazoned Coat,[Рецепт|Рецепта|Рецептов]: зловещей гербовой куртки
Recipe[s]: Sinister Emblazoned Gloves,[Рецепт|Рецепта|Рецептов]: зловещих гербовых перчаток
Recipe[s]: Sinister Emblazoned Helm,[Рецепт|Рецепта|Рецептов]: зловещего гербового шлема
Recipe[s]: Sinister Emblazoned Pants,[Рецепт|Рецепта|Рецептов]: зловещих гербовых штанов
Recipe[s]: Sinister Emblazoned Shoulders,[Рецепт|Рецепта|Рецептов]: зловещих гербовых наплечников
Recipe[s]: Sinister Exalted Boots,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных сапог
Recipe[s]: Sinister Exalted Coat,[Рецепт|Рецепта|Рецептов]: зловещей возвышенной куртки
Recipe[s]: Sinister Exalted Gloves,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных перчаток
Recipe[s]: Sinister Exalted Mantle,[Рецепт|Рецепта|Рецептов]: зловещей возвышенной накидки
Recipe[s]: Sinister Exalted Masque,[Рецепт|Рецепта|Рецептов]: зловещей возвышенной маски
Recipe[s]: Sinister Exalted Pants,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных штанов
Recipe[s]: Sinister Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния зловещего из паутинки
Recipe[s]: Sinister Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка зловещего
Recipe[s]: Sinister Pearl Bludgeoner,[Рецепт|Рецепта|Рецептов]: зловещей жемчужной дубины
Recipe[s]: Sinister Pearl Blunderbuss,[Рецепт|Рецепта|Рецептов]: зловещего жемчужного мушкета
Recipe[s]: Sinister Pearl Brazier,[Рецепт|Рецепта|Рецептов]: жаровня «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Broadsword,[Рецепт|Рецепта|Рецептов]: палаш «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Carver,[Рецепт|Рецепта|Рецептов]: кинжал «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Conch,[Рецепт|Рецепта|Рецептов]: раковина «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Crusher,[Рецепт|Рецепта|Рецептов]: дробитель «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Handcannon,[Рецепт|Рецепта|Рецептов]: ручная пушка «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Needler,[Рецепт|Рецепта|Рецептов]: игломет «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Quarterstaff,[Рецепт|Рецепта|Рецептов]: посох «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Reaver,[Рецепт|Рецепта|Рецептов]: секира «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Rod,[Рецепт|Рецепта|Рецептов]: жезл «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Sabre,[Рецепт|Рецепта|Рецептов]: сабля «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Shell,[Рецепт|Рецепта|Рецептов]: ракушка «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Siren,[Рецепт|Рецепта|Рецептов]: сирена «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Speargun,[Рецепт|Рецепта|Рецептов]: гарпун «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Stinger,[Рецепт|Рецепта|Рецептов]: Зловещий жемчужный стингер
Recipe[s]: Sinister Pearl Trident,[Рецепт|Рецепта|Рецептов]: Зловещий жемчужный трезубец
Recipe[s]: Skaaldsinger (Level 20),[Рецепт|Рецепта|Рецептов]: скаальдсингер (Уровень 20)
Recipe[s]: Skale Poking Stick,[Рецепт|Рецепта|Рецептов]: Скальный тыкательный посох
Recipe[s]: Skale Repeater,[Рецепт|Рецепта|Рецептов]: Скальный репитер
Recipe[s]: Slice of Allspice Cake,[Рецепт|Рецепта|Рецептов]: кусок пряного пирога
Recipe[s]: Slice of Allspice Cake with Ice Cream,[Рецепт|Рецепта|Рецептов]: кусок пряного пирога с мороженым
Recipe[s]: Slothasor Blue Mushroom,[Рецепт|Рецепта|Рецептов]: Синий гриб Слотасора
Recipe[s]: Slothasor Mushroom,[Рецепт|Рецепта|Рецептов]: Гриб Слотасора
Recipe[s]: Snow Diamond Ornament[s],[Рецепт|Рецепта|Рецептов]: [Снежный алмазный орнамент|Снежных алмазных орнамента|Снежных алмазных орнаментов]
Recipe[s]: Soros's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Сороса
Recipe[s]: Soros's Assassin Inscription,[Рецепт|Рецепта|Рецептов]: гравировка ассасина Сороса
Recipe[s]: Soros's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Сороса
Recipe[s]: Soros's Blade,[Рецепт|Рецепта|Рецептов]: клинок Сороса
Recipe[s]: Soros's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Сороса
Recipe[s]: Soros's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Сороса
Recipe[s]: Soros's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Сороса
Recipe[s]: Soros's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Сороса
Recipe[s]: Soros's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Сороса
Recipe[s]: Soros's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Сороса
Recipe[s]: Soros's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Сороса
Recipe[s]: Soros's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Сороса
Recipe[s]: Soros's Razor,[Рецепт|Рецепта|Рецептов]: бритва Сороса
Recipe[s]: Soros's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Сороса
Recipe[s]: Soros's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Сороса
Recipe[s]: Soros's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Сороса
Recipe[s]: Soros's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Сороса
Recipe[s]: Soros's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Сороса
Recipe[s]: Soros's Wand,[Рецепт|Рецепта|Рецептов]: жезл Сороса
Recipe[s]: Soros's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Сороса
Recipe[s]: Soundless Warhorn,[Рецепт|Рецепта|Рецептов]: Беззвучный боевой рог
Recipe[s]: Sparrowcatcher (Level 13),[Рецепт|Рецепта|Рецептов]: Ловец воробьёв (Уровень 13)
Recipe[s]: Sparrowcatcher (Level 8),[Рецепт|Рецепта|Рецептов]: Ловец воробьёв (Уровень 8)
Recipe[s]: Spear,[Рецепт|Рецепта|Рецептов]: Копьё
Recipe[s]: Speargun,[Рецепт|Рецепта|Рецептов]: копьемёт
Recipe[s]: Spearmarshal's Boots,[Рецепт|Рецепта|Рецептов]: сапоги маршала копья
Recipe[s]: Spearmarshal's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник маршала копья
Recipe[s]: Spearmarshal's Cowl,[Рецепт|Рецепта|Рецептов]: капюшон маршала копья
Recipe[s]: Spearmarshal's Gauntlets,[Рецепт|Рецепта|Рецептов]: рукавицы маршала копья
Recipe[s]: Spearmarshal's Gloves,[Рецепт|Рецепта|Рецептов]: перчатки маршала копья
Recipe[s]: Spearmarshal's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники маршала копья
Recipe[s]: Spearmarshal's Helm,[Рецепт|Рецепта|Рецептов]: Шлем маршала копья
Recipe[s]: Spearmarshal's Jerkin,[Рецепт|Рецепта|Рецептов]: куртка маршала копья
Recipe[s]: Spearmarshal's Leggings,[Рецепт|Рецепта|Рецептов]: поножи маршала копья
Recipe[s]: Spearmarshal's Mantle,[Рецепт|Рецепта|Рецептов]: мантия маршала копья
Recipe[s]: Spearmarshal's Mask,[Рецепт|Рецепта|Рецептов]: маска Маршала копья
Recipe[s]: Spearmarshal's Pants,[Рецепт|Рецепта|Рецептов]: Штаны Маршала копья
Recipe[s]: Spearmarshal's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Маршала копья
Recipe[s]: Spearmarshal's Shoes,[Рецепт|Рецепта|Рецептов]: обувь Маршала копья
Recipe[s]: Spearmarshal's Shoulderpads,[Рецепт|Рецепта|Рецептов]: наплечные пластины Маршала копья
Recipe[s]: Spearmarshal's Tasset,[Рецепт|Рецепта|Рецептов]: набедренник Маршала копья
Recipe[s]: Spearmarshal's Vambraces,[Рецепт|Рецепта|Рецептов]: наручи Маршала копья
Recipe[s]: Spearmarshal's Vestments,[Рецепт|Рецепта|Рецептов]: облачение Маршала копья
Recipe[s]: Spero,[Рецепт|Рецепта|Рецептов]: сперо
Recipe[s]: Spicy Marinated Mushroom,[Рецепт|Рецепта|Рецептов]: острый маринованный гриб
Recipe[s]: Spicy Moa Wings,[Рецепт|Рецепта|Рецептов]: Острые крылья моа
Recipe[s]: Spicy Pumpkin Cookie,[Рецепт|Рецепта|Рецептов]: острое тыквенное печенье
Recipe[s]: Spirit Containment Unit,[Рецепт|Рецепта|Рецептов]: блок сдерживания духов
Recipe[s]: Spirobolidae,[Рецепт|Рецепта|Рецептов]: спироболиды
Recipe[s]: Sprocket Orichalcum Amulet,[Рецепт|Рецепта|Рецептов]: шестерёнчатый орихалковый амулет
Recipe[s]: Sprocket Orichalcum Earring,[Рецепт|Рецепта|Рецептов]: серьга из орихалка с шестеренками
Recipe[s]: Sprocket Orichalcum Ring,[Рецепт|Рецепта|Рецептов]: Кольцо из орихалка с шестеренками
Recipe[s]: Stable Fence,[Рецепт|Рецепта|Рецептов]: забор для стойла
Recipe[s]: Stable Pen,[Рецепт|Рецепта|Рецептов]: Загон для стойла
Recipe[s]: Stagsign (Level 20),[Рецепт|Рецепта|Рецептов]: Знак оленя (20-й уровень)
Recipe[s]: Stained Glass,[Рецепт|Рецепта|Рецептов]: витраж
Recipe[s]: Star Charter's Bag,[Рецепт|Рецепта|Рецептов]: сумка звёздного чартера
Recipe[s]: Statue of Grenth Token,[Рецепт|Рецепта|Рецептов]: жетон статуи Грента
Recipe[s]: Steak with Winterberry Sauce,[Рецепт|Рецепта|Рецептов]: стейк с соусом из зимней ягоды
Recipe[s]: Steelstar's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Стилстара
Recipe[s]: Steelstar's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Стилстара
Recipe[s]: Steelstar's Blade,[Рецепт|Рецепта|Рецептов]: клинок Стилстара
Recipe[s]: Steelstar's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Стилстара
Recipe[s]: Steelstar's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Стилстара
Recipe[s]: Steelstar's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Стилстара
Recipe[s]: Steelstar's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Стилстара
Recipe[s]: Steelstar's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Стилстара
Recipe[s]: Steelstar's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Стилстара
Recipe[s]: Steelstar's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Стилстара
Recipe[s]: Steelstar's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Стилстара
Recipe[s]: Steelstar's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Стилстара
Recipe[s]: Steelstar's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Стилстара
Recipe[s]: Steelstar's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Стилстара
Recipe[s]: Steelstar's Guise,[Рецепт|Рецепта|Рецептов]: облик Стилстара
Recipe[s]: Steelstar's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Стилстара
Recipe[s]: Steelstar's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Стилстара
Recipe[s]: Steelstar's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Стилстара
Recipe[s]: Steelstar's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Стилстара
Recipe[s]: Steelstar's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния Стилстара
Recipe[s]: Steelstar's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Стилстара
Recipe[s]: Steelstar's Masque,[Рецепт|Рецепта|Рецептов]: маска Стилстара
Recipe[s]: Steelstar's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Стилстара
Recipe[s]: Steelstar's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Стилстара
Recipe[s]: Steelstar's Razor,[Рецепт|Рецепта|Рецептов]: бритва Стилстара
Recipe[s]: Steelstar's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Стилстара
Recipe[s]: Steelstar's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Стилстара
Recipe[s]: Steelstar's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Стилстара
Recipe[s]: Steelstar's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Стилстара
Recipe[s]: Steelstar's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Стилстара
Recipe[s]: Steelstar's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Стилстара
Recipe[s]: Steelstar's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Стилстара
Recipe[s]: Steelstar's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Стилстара
Recipe[s]: Steelstar's Visage,[Рецепт|Рецепта|Рецептов]: лик Стилстара
Recipe[s]: Steelstar's Visor,[Рецепт|Рецепта|Рецептов]: забрало Стилстара
Recipe[s]: Steelstar's Wand,[Рецепт|Рецепта|Рецептов]: жезл Стилстара
Recipe[s]: Steelstar's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Стилстара
Recipe[s]: Steelstar's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Стилстара
Recipe[s]: Steelstar's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Стилстара
Recipe[s]: Stellar Apparatus,[Рецепт|Рецепта|Рецептов]: звёздный механизм
Recipe[s]: Stellar Avenger,[Рецепт|Рецепта|Рецептов]: звёздный Мститель
Recipe[s]: Stellar Beacon,[Рецепт|Рецепта|Рецептов]: звёздный маяк
Recipe[s]: Stellar Cannon,[Рецепт|Рецепта|Рецептов]: Звёздная пушка
Recipe[s]: Stellar Cleaver,[Рецепт|Рецепта|Рецептов]: звёздный Топорик
Recipe[s]: Stellar Disk,[Рецепт|Рецепта|Рецептов]: звёздный диск
Recipe[s]: Stellar Harbinger,[Рецепт|Рецепта|Рецептов]: звёздный предвестник
Recipe[s]: Stellar Khopesh,[Рецепт|Рецепта|Рецептов]: звёздный хопеш
Recipe[s]: Stellar Knobkerrie,[Рецепт|Рецепта|Рецептов]: Астральная Кейн
Recipe[s]: Stellar Longbow,[Рецепт|Рецепта|Рецептов]: звёздный длинный лук
Recipe[s]: Stellar Orrery,[Рецепт|Рецепта|Рецептов]: Звёздная Сфира
Recipe[s]: Stellar Razor,[Рецепт|Рецепта|Рецептов]: звёздный Клинок
Recipe[s]: Stellar Revolver,[Рецепт|Рецепта|Рецептов]: звёздный револьвер
Recipe[s]: Stellar Scepter,[Рецепт|Рецепта|Рецептов]: звёздный скипетр
Recipe[s]: Stellar Short Bow,[Рецепт|Рецепта|Рецептов]: звёздный короткий лук
Recipe[s]: Stellar Spire,[Рецепт|Рецепта|Рецептов]: звёздный шпиль
Recipe[s]: Sticky Bread,[Рецепт|Рецепта|Рецептов]: липкий хлеб
Recipe[s]: Stiletto Jodhpurs (Level 71),[Рецепт|Рецепта|Рецептов]: бриджи «Стилетто» (Уровень 71)
Recipe[s]: Stonecleaver's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Камнеруба
Recipe[s]: Stonecleaver's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Камнеруба
Recipe[s]: Stonecleaver's Blade,[Рецепт|Рецепта|Рецептов]: клинок Камнеруба
Recipe[s]: Stonecleaver's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Камнеруба
Recipe[s]: Stonecleaver's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Камнеруба
Recipe[s]: Stonecleaver's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Камнеруба
Recipe[s]: Stonecleaver's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Камнеруба
Recipe[s]: Stonecleaver's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Камнеруба
Recipe[s]: Stonecleaver's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Камнеруба
Recipe[s]: Stonecleaver's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Камнеруба
Recipe[s]: Stonecleaver's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Камнеруба
Recipe[s]: Stonecleaver's Razor,[Рецепт|Рецепта|Рецептов]: бритва Камнеруба
Recipe[s]: Stonecleaver's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Камнеруба
Recipe[s]: Stonecleaver's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Камнеруба
Recipe[s]: Stonecleaver's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Камнеруба
Recipe[s]: Stonecleaver's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Камнеруба
Recipe[s]: Stonecleaver's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Камнеруба
Recipe[s]: Stonecleaver's Valkyrie Inscription,[Рецепт|Рецепта|Рецептов]: гравировка валькирии Камнеруба
Recipe[s]: Stonecleaver's Wand,[Рецепт|Рецепта|Рецептов]: жезл Камнеруба
Recipe[s]: Stonecleaver's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Камнеруба
Recipe[s]: Storm's Eye Axe,[Рецепт|Рецепта|Рецептов] «Око бури: Секира»
Recipe[s]: Storm's Eye Dagger,[Рецепт|Рецепта|Рецептов] «Око бури: Кинжал»
Recipe[s]: Storm's Eye Focus,[Рецепт|Рецепта|Рецептов] «Око бури: Фокус»
Recipe[s]: Storm's Eye Greatsword,[Рецепт|Рецепта|Рецептов] «Око бури: Двуручный меч»
Recipe[s]: Storm's Eye Hammer,[Рецепт|Рецепта|Рецептов]: Молот «Глаз Бури»
Recipe[s]: Storm's Eye Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук Глаза Бури
Recipe[s]: Storm's Eye Mace,[Рецепт|Рецепта|Рецептов]: булава «Глаз Бури»
Recipe[s]: Storm's Eye Pistol,[Рецепт|Рецепта|Рецептов]: пистолет Глаза Бури
Recipe[s]: Storm's Eye Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Глаза Бури
Recipe[s]: Storm's Eye Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Глаза Бури
Recipe[s]: Storm's Eye Shield,[Рецепт|Рецепта|Рецептов]: Щит «Глаз бури»
Recipe[s]: Storm's Eye Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук «Глаз Бури»
Recipe[s]: Storm's Eye Staff,[Рецепт|Рецепта|Рецептов]: Посох Глаза Бури
Recipe[s]: Storm's Eye Sword,[Рецепт|Рецепта|Рецептов]: Меч «Глаз Бури»
Recipe[s]: Storm's Eye Torch,[Рецепт|Рецепта|Рецептов]: Факел «Глаз Бури»
Recipe[s]: Storm's Eye Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог Глаза Бури
Recipe[s]: Stormcaller Axe,[Рецепт|Рецепта|Рецептов]: топор Призывателя Бури
Recipe[s]: Stormcaller Core,[Рецепт|Рецепта|Рецептов]: Ядро Позыва бури
Recipe[s]: Stormcaller Dagger,[Рецепт|Рецепта|Рецептов]: кинжал «Призыватель бури»
Recipe[s]: Stormcaller Focus,[Рецепт|Рецепта|Рецептов]: Фокус «Призывающий бурю»
